Li,Ni,Co,Mn,M,LC_a,LC_c,CV,CD,V_min,V_max,Mr_dopant,Mr,no_electron_M,EN_M,No_iso_dopant,E_ion_dopant,EA_dopant,AR_dopant,IR_dopant,IC,EC
1.19,0.13,0.13,0.49,0.01,2.8543,14.246,100.513,50,2,4.8,85.47,82.47,37,0.82,20,403,0.485,265,235,220.33,207.91
1.17,0.13,0.13,0.44,0.03,2.8547,14.246,100.541,50,2,4.8,85.47,79.58,37,0.82,20,403,0.485,265,235,236.7,228.28
1.15,0.13,0.13,0.39,0.05,2.8605,14.2414,100.918,50,2,4.8,85.47,76.7,37,0.82,20,403,0.485,265,235,223.04,218.1
1,0.45,0.1,0.43,0.02,2.8804,14.2899,102.675,36,3,4.6,91.22,94.87,40,1.33,20,640,0.433,206,155,180.07,178.22
1,0.796,0.1,0.1,0.005,2.8774,14.2216,101.972,40,2.8,4.6,92.91,96.99,41,1.6,24,652,0.917,198,145,216.65,204.6
1,0.788,0.099,0.099,0.015,2.8782,14.2374,102.142,40,2.8,4.6,92.91,96.41,41,1.6,24,652,0.917,198,145,208.22,192.72
1,0.792,0.099,0.099,0.01,2.8793,14.2436,102.264,40,2.8,4.6,92.91,96.7,41,1.6,24,652,0.917,198,145,219.6,208
1,0.784,0.098,0.098,0.02,2.8777,14.2306,102.057,40,2.8,4.6,92.91,96.11,41,1.6,24,652,0.917,198,145,203.24,187.36
0.99,0.5,0.2,0.3,0.01,2.8706,14.2502,101.692,170,2.7,4.6,26.98,96.49,13,1.61,8,578,0.432,118,125,187.69,178.7
0.97,0.5,0.2,0.3,0.03,2.8734,14.2616,101.976,170,2.7,4.6,26.98,96.35,13,1.61,8,578,0.432,118,125,186.04,166.63
0.95,0.5,0.2,0.3,0.05,2.8749,14.2653,102.11,170,2.7,4.6,26.98,96.21,13,1.61,8,578,0.432,118,125,156.21,140.12
1,0.495,0.198,0.297,0.01,2.8617,14.1775,100.548,170,2.7,4.6,26.98,95.98,13,1.61,8,578,0.432,118,125,167.52,152.97
1,0.485,0.194,0.291,0.03,2.8665,14.223,101.21,170,2.7,4.6,26.98,94.83,13,1.61,8,578,0.432,118,125,178.67,164.12
1,0.475,0.19,0.285,0.05,2.8696,14.2737,101.793,170,2.7,4.6,26.98,93.67,13,1.61,8,578,0.432,118,125,174.06,160
1,0.499,0.2,0.299,0.002,2.8726,14.246,101.808,278,2.8,4.6,47.88,96.44,22,1.54,9,659,0.075,176,140,185.12,176.28
1,0.498,0.199,0.299,0.004,2.8726,14.2473,101.813,278,2.8,4.6,47.88,96.32,22,1.54,9,659,0.075,176,140,183.26,173.95
1,0.496,0.198,0.298,0.008,2.8729,14.249,101.849,278,2.8,4.6,47.88,96.09,22,1.54,9,659,0.075,176,140,176.28,170.23
1,0.485,0.194,0.291,0.03,2.8751,14.2615,102.092,278,2.8,4.6,47.88,94.83,22,1.54,9,659,0.075,176,140,173.02,156.74
